Id,name,GP,GW,GL,GP%,GW%
133,Azelf,3,1,2,0.10%,33.30%
134,Turtonator,3,1,2,0.10%,33.30%
135,Torracat,3,1,2,0.10%,33.30%
136,Emolga,3,1,2,0.10%,33.30%
137,Azumarill,3,1,2,0.10%,33.30%
138,Mamoswine,3,1,2,0.10%,33.30%
139,Drampa,3,1,2,0.10%,33.30%
140,Greedent,2,2,0,0.00%,100.00%
141,Dracovish,2,2,0,0.00%,100.00%
143,Giratina Origin ,2,2,0,0.00%,100.00%
144,Centiskorch,2,2,0,0.00%,100.00%
145,Kangaskhan,2,2,0,0.00%,100.00%
146,Cradily,2,2,0,0.00%,100.00%
147,Zacian Hero of Many Battles,2,0,2,0.00%,0.00%
148,Giratina Altered ,2,0,2,0.00%,0.00%
149,Riolu,2,0,2,0.00%,0.00%
150,Electivire,2,0,2,0.00%,0.00%
151,Chansey,2,0,2,0.00%,0.00%
152,Shuckle,2,0,2,0.00%,0.00%
153,Regidrago,2,0,2,0.00%,0.00%
155,Galarian Weezing,2,0,2,0.00%,0.00%
156,Blacephalon,2,0,2,0.00%,0.00%
157,Mudkip,2,0,2,0.00%,0.00%
158,Jellicent,2,0,2,0.00%,0.00%
159,Dubwool,2,0,2,0.00%,0.00%
160,Butterfree,2,0,2,0.00%,0.00%
161,Morpeko Hangry Mode,2,0,2,0.00%,0.00%
162,Jynx,2,0,2,0.00%,0.00%
163,Maractus,2,0,2,0.00%,0.00%
164,Tapu Lele,2,0,2,0.00%,0.00%
165,Alolan Marowak,2,0,2,0.00%,0.00%
166,Tangrowth,2,0,2,0.00%,0.00%
167,Mantine,2,0,2,0.00%,0.00%
