Id,name,GP,GW,GL,GP%,GW%
128,Pincurchin,7,0,7,0.10%,0.00%
129,Krookodile,6,6,0,0.10%,100.00%
130,Jynx,6,4,2,0.10%,66.70%
131,Wash Rotom,6,3,3,0.10%,50.00%
132,Charjabug,6,3,3,0.10%,50.00%
133,Excadrill,6,2,4,0.10%,33.30%
134,Scrafty,6,2,4,0.10%,33.30%
135,Guzzlord,6,0,6,0.10%,0.00%
136,Bisharp,6,0,6,0.10%,0.00%
137,Slowbro,6,0,6,0.10%,0.00%
138,Rayquaza,5,5,0,0.10%,100.00%
139,Salazzle,5,5,0,0.10%,100.00%
140,Sharpedo,5,5,0,0.10%,100.00%
141,Toxicroak,5,3,2,0.10%,60.00%
142,Appletun,5,3,2,0.10%,60.00%
143,Heat Rotom,5,3,2,0.10%,60.00%
144,Gigalith,5,3,2,0.10%,60.00%
145,Bronzong,5,2,3,0.10%,40.00%
146,Aerodactyl,5,2,3,0.10%,40.00%
147,Exeggutor,5,2,3,0.10%,40.00%
148,Braviary,5,0,5,0.10%,0.00%
149,Toxapex,5,0,5,0.10%,0.00%
150,Conkeldurr,5,0,5,0.10%,0.00%
151,Azumarill,5,0,5,0.10%,0.00%
152,Malamar,4,2,2,0.10%,50.00%
153,Inteleon,4,2,2,0.10%,50.00%
154,Alakazam,4,2,2,0.10%,50.00%
155,Mr. Rime,4,2,2,0.10%,50.00%
156,Miltank,4,2,2,0.10%,50.00%
157,Dracozolt,4,2,2,0.10%,50.00%
158,Galarian Slowking,4,0,4,0.10%,0.00%
159,Duraludon,4,0,4,0.10%,0.00%
160,Clefable,4,0,4,0.10%,0.00%
161,Chandelure,4,0,4,0.10%,0.00%
162,Hatterene,4,0,4,0.10%,0.00%
163,Coalossal,3,3,0,0.10%,100.00%
164,Zacian Hero of Many Battles,3,3,0,0.10%,100.00%
165,Corviknight,3,3,0,0.10%,100.00%
166,Latios,3,3,0,0.10%,100.00%
167,Glaceon,3,3,0,0.10%,100.00%
168,Vikavolt,3,3,0,0.10%,100.00%
169,Crobat,3,3,0,0.10%,100.00%
170,Regigigas,3,3,0,0.10%,100.00%
171,Hippowdon,3,0,3,0.10%,0.00%
172,Black Kyurem,3,0,3,0.10%,0.00%
173,Dialga,3,0,3,0.10%,0.00%
174,Quagsire,3,0,3,0.10%,0.00%
175,Sirfetch'd,3,0,3,0.10%,0.00%
176,Snom,3,0,3,0.10%,0.00%
177,Pyukumuku,3,0,3,0.10%,0.00%
178,Skuntank,3,0,3,0.10%,0.00%
179,Magnezone,3,0,3,0.10%,0.00%
180,Terrakion,3,0,3,0.10%,0.00%
181,Mewtwo,3,0,3,0.10%,0.00%
182,Tornadus Therian ,3,0,3,0.10%,0.00%
183,Cresselia,3,0,3,0.10%,0.00%
184,Abomasnow,3,0,3,0.10%,0.00%
185,Aurorus,3,0,3,0.10%,0.00%
186,Decidueye,3,0,3,0.10%,0.00%
187,Runerigus,3,0,3,0.10%,0.00%
188,Thievul,2,2,0,0.00%,100.00%
189,Escavalier,2,2,0,0.00%,100.00%
190,Noivern,2,2,0,0.00%,100.00%
191,Armaldo,2,0,2,0.00%,0.00%
192,Goodra,2,0,2,0.00%,0.00%
193,Dusknoir,2,0,2,0.00%,0.00%
194,Bulbasaur,2,0,2,0.00%,0.00%
195,Alolan Raichu,2,0,2,0.00%,0.00%
196,Cramorant,2,0,2,0.00%,0.00%
197,Alolan Exeggutor,2,0,2,0.00%,0.00%
198,Mow Rotom,2,0,2,0.00%,0.00%
199,Silvally,2,0,2,0.00%,0.00%
200,Nidoking,2,0,2,0.00%,0.00%
201,Gardevoir,2,0,2,0.00%,0.00%
202,Gengar,2,0,2,0.00%,0.00%
203,Slowking,2,0,2,0.00%,0.00%
204,Perrserker,2,0,2,0.00%,0.00%
205,Lugia,2,0,2,0.00%,0.00%
206,Turtonator,2,0,2,0.00%,0.00%
207,Obstagoon,2,0,2,0.00%,0.00%
208,Drednaw,2,0,2,0.00%,0.00%
